"","Ws.0_0hr","Ws.0_2hr.PopP2","Ws.0_4hr.PopP2","Ws.0_6hr.PopP2","Ws.0_8hr.PopP2"
"AT4G18960_AG",2.06026554913482,-0.121192091125577,-0.666556501190676,-0.666556501190676,-0.666556501190676
"AT5G44420_PDF1.2A",2.37504530016791,-0.541975411377699,-0.596499163020657,-0.701352531545448,-0.722323205225241
"AT4G28410_RSA1",NA,NA,NA,NA,NA
"AT5G03840_TFL1",NA,NA,NA,NA,NA
"AT3G27850_RPL12-C",2.58717620032818,-0.0145538197432491,-0.493069328955839,-0.564371308812481,-0.574406402268504
"AT1G77120_ADH1",-0.613244822667682,1.12855701220126,2.21980635418746,-0.613244822667682,-0.17254797293466
"AT1G59860_HSP17.6A-CI",-0.631208386273158,-0.0316696249323785,1.58839549808944,1.00851374531721,-1.28316583714645
"AT1G07160_AP2C2",-1.50624602065432,0.120247999792315,1.41326355569863,0.0819713841036915,-0.956740626306987
"AT1G32640_MYC2",-1.00307758352429,1.58463617382476,0.232845404958952,-0.624842531040167,-0.384450182566601
"AT3G45140_LOX2",-1.03680473857758,0.98035126517454,0.462972851460466,-1.01103368297927,-1.57930177674684
"AT4G01250_WRKY22",-1.98720239725821,0.145345473431282,0.34733293283423,1.19787876514869,-0.786270155651701
"AT5G09810_ACT7",-1.85777036756999,-0.824019248014811,0.921007532392517,1.33420303991799,-0.34831076790377
"AT2G17740_VLG",-1.4952092144658,-0.975146717422062,0.580551365180532,1.80237924914738,0.065214561000227
"AT2G19190_FRK1",-2.36554804015176,-0.450140939341296,0.139985552868435,0.720607065000035,0.907487267968496
"AT1G07920",-0.161909365984559,-0.00876096484436027,-0.957977789329291,1.00414133396305,1.24523634217602
