Locus,Ws-0_0hr,Ws-0_2hr-PopP2,Ws-0_4hr-PopP2,Ws-0_6hr-PopP2,Ws-0_8hr-PopP2,Ws-0_2hr-C321A,Ws-0_4hr-C321A,Ws-0_6hr-C321A,Ws-0_8hr-C321A,rrs1_0hr,rrs1_2hr-PopP2,rrs1_4hr-PopP2,rrs1_6hr-PopP2,rrs1_8hr-PopP2
AT1G01680_PUB54,0,0.7,97.76666667,596.8,575.7666667,1.966666667,5.033333333,36.76666667,43.16666667,0,0.9,8,40.03333333,85
AT1G07160_AP2C2,0,103.4,185.6,100.9666667,34.93333333,99,162.4333333,145.7,29.76666667,0,54.2,212.9,115.8333333,34.63333333
AT1G07920,64.76666667,68.13333333,47.26666667,90.4,95.7,31.26666667,50.3,85.93333333,81.16666667,62.26666667,53.25,67.7,83.73333333,104.5333333
AT1G19250_FMO1,0,0.4,96.73333333,532.4,1457.1,1.666666667,11.53333333,23.1,41.46666667,0,5.3,8.666666667,33.4,110.0333333
AT1G32640_MYC2,27.36666667,156.9,89.23333333,46.3,58.33333333,164.3,64.9,45.43333333,45.43333333,21.53333333,56.65,57.5,39.76666667,51.86666667
AT1G35210,5.333333333,43.23333333,234.5333333,276.1333333,158.6333333,16.06666667,65.26666667,69.46666667,19,1.8,7.85,59.36666667,64.26666667,43
AT1G43910,1.9,0,31.36666667,228.8,453.8,3.066666667,5.633333333,16.6,27.83333333,4.233333333,1.75,4.866666667,14.26666667,29
AT1G51920,0,60.86666667,444.8,588.9,466.7666667,43.73333333,372.5333333,360.9333333,167.5,0.633333333,32.4,399.9666667,335.2666667,210.7
AT1G53620,0,0,12.4,56.66666667,131.6333333,0,0,1.7,2.1,0,0,2.833333333,2.066666667,18.8
AT1G53625,0.133333333,36.23333333,1042.966667,1702.333333,1205.366667,39.23333333,333.6666667,416.2333333,215.4666667,0.2,17.95,463.8333333,307.8,311.5333333
AT1G59860_HSP17.6A-CI,22.6,34.8,67.76666667,55.96666667,9.333333333,26.1,44.03333333,48.7,9.7,25.4,9.25,49.1,26.33333333,5.733333333
AT1G65483,0,0,11.16666667,58.76666667,77.8,0,0,7,7.766666667,0,0,0,3.533333333,4.266666667
AT1G68200_CDM1,1.733333333,1.3,4.566666667,47,58.16666667,0.433333333,0.366666667,1.8,1.366666667,0,0,0,2.133333333,0
AT1G73805_SARD1,3.5,17.73333333,295.9333333,585.7,578.3666667,15.46666667,45.63333333,86.13333333,132.0333333,0.733333333,14.1,48.16666667,71.4,163.6
AT1G74710_ICS1,12.03333333,14.33333333,495.0666667,900.9,582.0333333,7.9,43.96666667,159.2333333,64.56666667,13.13333333,5.8,54.2,183.3,89.36666667
AT1G77120_ADH1,0,2.766666667,4.5,0,0.7,0.333333333,0,0,0.466666667,0.4,2.65,0,1.1,0.333333333
AT2G04430_NUDT5,2.3,6.333333333,10.26666667,72.86666667,115.9,7.9,6.033333333,8.966666667,16.16666667,3,5.2,1.4,15.06666667,25.86666667
AT2G04450_NUDT6,0.966666667,0,45.26666667,339.7333333,777.0333333,0,0.666666667,18.13333333,61.1,2.233333333,1.15,5.333333333,40.63333333,82.56666667
AT2G14610_PR1,0.266666667,0,2.333333333,225.1666667,4537.1,4.733333333,2.4,28.43333333,199.5333333,3.366666667,23.05,15.83333333,56.73333333,508.3666667
AT2G17740_VLG,0,73.36666667,292.8333333,465.2,220.1333333,97.06666667,223.1,316.9333333,209.7666667,0,38.75,303.6,302.2333333,192.7333333
AT2G19190_FRK1,0.4,1249.8,1634.733333,2013.466667,2135.366667,1339.966667,1884.466667,1975.066667,1657.533333,0,891.65,1701.466667,2035.833333,1814.2
AT2G24850_TAT3,1.133333333,479.3,1704.5,3668.8,4605.666667,632.3333333,1155.9,896.0666667,1444.966667,0.2,123.95,853.1333333,610.2666667,1798.766667
AT2G26400_ARD3,0,0.4,7.533333333,431.0666667,1939.533333,0,0,6.5,54.93333333,0,0,0,23.33333333,251.0333333
