,Locus,Ws-0_0hr-1,Ws-0_0hr-2,Ws-0_0hr-3,Ws-0_2hr-PopP2-1,Ws-0_2hr-PopP2-2,Ws-0_2hr-PopP2-3,Ws-0_4hr-PopP2-1,Ws-0_4hr-PopP2-2,Ws-0_4hr-PopP2-3,Ws-0_6hr-PopP2-1,Ws-0_6hr-PopP2-2,Ws-0_6hr-PopP2-3,Ws-0_8hr-PopP2-1,Ws-0_8hr-PopP2-2,Ws-0_8hr-PopP2-3,Ws-0_2hr-C321A-1,Ws-0_2hr-C321A-2,Ws-0_2hr-C321A-3,Ws-0_4hr-C321A-1,Ws-0_4hr-C321A-2,Ws-0_4hr-C321A-3,Ws-0_6hr-C321A-1,Ws-0_6hr-C321A-2,Ws-0_6hr-C321A-3,Ws-0_8hr-C321A-1,Ws-0_8hr-C321A-2,Ws-0_8hr-C321A-3,rrs1_0hr-1,rrs1_0hr-2,rrs1_0hr-3,rrs1_2hr-PopP2-2,rrs1_2hr-PopP2-3,rrs1_4hr-PopP2-1,rrs1_4hr-PopP2-2,rrs1_4hr-PopP2-3,rrs1_6hr-PopP2-1,rrs1_6hr-PopP2-2,rrs1_6hr-PopP2-3,rrs1_8hr-PopP2-1,rrs1_8hr-PopP2-2,rrs1_8hr-PopP2-3
70,AT1G01680,0,0,0,2.1,0,0,111.1,21.1,161.1,797.9,619.6,372.9,820.1,420.4,486.8,4,0,1.9,0,13,2.1,55.1,35.6,19.6,77.4,33.1,19,0,0,0,0,1.8,8.5,11.3,4.2,69.5,15.4,35.2,40.4,190.5,24.1
616,AT1G07160,0,0,0,120.5,48.6,141.1,163.2,173.1,220.5,63.4,111.8,127.7,35.3,25.1,44.4,79.5,74.6,142.9,159.7,127.8,199.8,169.2,125.5,142.4,46.2,34.5,8.6,0,0,0,72.9,35.5,202.3,181,255.4,66.2,150.2,131.1,30,21.2,52.7
694,AT1G07920,49.2,63.7,81.4,93.5,53,57.9,72.1,27.4,42.3,108,91.7,71.5,126.7,77.9,82.5,47.3,21.7,24.8,57.9,30.6,62.4,102.3,57.3,98.2,92.4,64.8,86.3,73.5,63,50.3,23.1,83.4,41,83.7,78.4,92.7,68.8,89.7,131.5,77.6,104.5
1831,AT1G19250,0,0,0,0,0,1.2,39,4.2,247,385.6,317.6,894,990.4,1840.1,1540.8,5,0,0,25.5,2.8,6.3,24.9,24.8,19.6,51.6,33.1,39.7,0,0,0,0,10.6,5.7,2.3,18,29.8,32.3,38.1,29,268.1,33
2970,AT1G32640,52.3,18,11.8,205.7,125.1,139.9,101.1,99.2,67.4,39.6,38,61.3,64.4,64,46.6,246.6,121.8,124.5,90.3,53.7,50.7,45.9,57.3,33.1,61.1,37.2,38,37.3,15.5,11.8,90.2,23.1,73.6,56.5,42.4,67.8,21.1,30.4,106.7,14.1,34.8
3144,AT1G35210,0,1.6,14.4,16.6,11.8,101.3,318.4,133,252.2,260.7,337.8,229.9,149.5,169.8,156.6,11.1,2.8,34.3,74.1,36.1,85.6,98.4,44.9,65.1,19,20.7,17.3,0,1.1,4.3,10.4,5.3,50.9,49.8,77.4,51.3,57.6,83.9,16.6,84.7,27.7
3359,AT1G43910,0,5.7,0,0,0,0,32,10.6,51.5,337,165.5,183.9,591.7,253.3,516.4,0,0.9,8.3,3.5,2.8,10.6,24.9,7.7,17.2,23.1,27.6,32.8,0,2.8,9.9,0,3.5,5.7,6.8,2.1,21.5,11.2,10.1,14.5,56.4,16.1
3853,AT1G51920,0,0,0,22.9,89.8,69.9,331.4,502.5,500.5,565,711.3,490.4,336.4,615.2,448.7,48.3,35.9,47,209.5,357.5,550.6,275.4,447.7,359.7,112.8,241.2,148.5,0,0,1.9,64.8,0,246.2,538.3,415.4,213.4,452.1,340.3,116,289.3,226.8
4023,AT1G53620,0,0,0,0,0,0,13,8.4,15.8,68.4,76.1,25.5,130.8,139.2,124.9,0,0,0,0,0,0,2.6,0,2.5,0,2.8,3.5,0,0,0,0,0,0,0,8.5,3.3,0,2.9,0,56.4,0
4024,AT1G53625,0,0.4,0,58.2,5.9,44.6,1417.7,327.2,1384,2172.8,1733.6,1200.6,1750.3,790.6,1075.2,66.4,17,34.3,487.3,134.3,379.4,619,319.1,310.6,377.7,146.1,122.6,0,0,0.6,35.9,0,652.3,244.3,494.9,345.8,206.4,371.2,323.1,437.4,174.1
4412,AT1G59860,22.2,40.4,5.2,12.5,14.7,77.2,120.1,10.6,72.6,28.7,62.6,76.6,10.4,2.8,14.8,38.3,5.7,34.3,11.6,7.4,113.1,36.7,48,61.4,12.2,15.2,1.7,4.5,53.1,18.6,18.5,0,48.1,27.1,72.1,14.9,32.3,31.8,8.3,0,8.9
4946,AT1G65483,0,0,0,0,0,0,5,12.7,15.8,55.5,120.8,0,128.7,30.6,74.1,0,0,0,0,0,0,21,0,0,5.4,11,6.9,0,0,0,0,0,0,0,0,1.7,7,1.9,8.3,0,4.5
5199,AT1G68200,0,0,5.2,0,1.5,2.4,0,8.4,5.3,51.5,53.7,35.8,62.3,52.9,59.3,0,0,1.3,0,0,1.1,3.9,1.5,0,4.1,0,0,0,0,0,0,0,0,0,0,5,0,1.4,0,0,0
5734,AT1G73805,0,0,10.5,18.7,4.4,30.1,435.5,118.2,334.1,681,463,613.1,789,459.3,486.8,20.1,14.2,12.1,48.6,33.3,55,114.1,62,82.3,171.2,86.8,138.1,1.1,1.1,0,6.9,21.3,56.6,31.7,56.2,71.1,33.7,109.4,107.7,282.2,100.9
5826,AT1G74710,10.3,6.1,19.7,12.5,22.1,8.4,551.7,179.4,754.1,1091.3,993.2,618.2,560.6,645.8,539.7,10.1,6.6,7,18.5,27.8,85.6,219,122.4,136.3,97.8,57.9,38,12.4,13.3,13.7,11.6,0,19.8,63.3,79.5,170.4,171.3,208.2,62.1,91.7,114.3
6063,AT1G77120,0,0,0,8.3,0,0,4,4.2,5.3,0,0,0,2.1,0,0,1,0,0,0,0,0,0,0,0,1.4,0,0,0,0,1.2,0,5.3,0,0,0,0,2.8,0.5,1,0,0
6728,AT2G04430,0,6.9,0,6.2,4.4,8.4,10,6.3,14.5,126.9,55.9,35.8,139.1,66.8,141.8,5,6.6,12.1,3.5,8.3,6.3,10.5,13.9,2.5,28.5,9.6,10.4,2.3,5.5,1.2,10.4,0,4.2,0,0,14.9,19.7,10.6,11.4,63.5,2.7
6729,AT2G04450,0,2.9,0,0,0,0,61.1,2.1,72.6,594.7,230.4,194.1,950.9,389.7,990.5,0,0,0,0,0.9,1.1,38,13.9,2.5,63.9,40,79.4,0,1.1,5.6,2.3,0,2.8,9,4.2,24.8,42.1,55,53.8,134.1,59.8
7172,AT2G14610,0.8,0,0,0,0,0,7,0,0,187.3,69.3,418.9,4326.9,2575,6709.4,0,14.2,0,2.3,2.8,2.1,2.6,43.4,39.3,35.3,155.8,407.5,1.1,2.8,6.2,0,46.1,9.9,9,28.6,31.4,33.7,105.1,77.7,790.2,657.2
7419,AT2G17740,0,0,0,58.2,48.6,113.3,390.5,181.6,306.4,519.4,431.7,444.5,213.9,264.5,182,75.5,63.3,152.4,261.6,122.3,285.4,367.2,368.7,214.9,213.3,212.3,203.7,0,0,0,74,3.5,338.2,242,330.6,327.6,268.2,310.9,240.3,183.4,154.5
7549,AT2G19190,0,1.2,0,741.8,1149.5,1858.1,1619.9,1304.7,1979.6,2271.9,2189.9,1578.6,1937.1,2396.9,2072.1,822.5,1318.9,1878.5,1483.9,1835.9,2333.6,1395.3,2507.8,2022.1,1434.6,2016.8,1521.2,0,0,0,1733.6,49.7,1758.8,1364,1981.6,1573.5,2579.3,1954.7,1309,2497.7,1635.9
8081,AT2G24850,0,0.8,2.6,762.6,200.2,475.1,1933.3,1093.6,2086.6,4594.3,3055.6,3356.5,5688.9,4214.7,3913.4,1297.6,184.1,415.3,1196.8,1119.9,1151,835.3,759,1093.9,1422.4,1096,1816.5,0,0,0.6,203.5,44.4,807.9,687.6,1063.9,747.9,459.1,623.8,2016.3,1629.8,1750.2
8220,AT2G26400,0,0,0,0,0,1.2,16,0,6.6,414.3,286.3,592.6,2186.3,1105.2,2527.1,0,0,0,0,0,0,6.6,3.1,9.8,28.5,48.2,88.1,0,0,0,0,0,0,0,0,9.9,21.1,39,70.4,458.6,224.1
8627,AT2G30770,0,0,0,0,0,10.9,2,4.2,93.8,272.6,310.9,459.8,1631.9,1372.4,1642.4,3,0,4.4,18.5,7.4,20.1,32.8,23.2,82.3,84.2,110.3,41.4,2.3,0,3.1,0,0,5.7,4.5,45.6,11.6,11.2,28,51.8,254,100.9
10141,AT2G45760,0,0,0,0,0,1.2,67.1,27.4,130.7,420.3,364.6,204.4,409,342.4,548.2,2,2.8,0,9.3,1.9,5.3,19.7,12.4,11,34,15.2,6.9,0,0,0,1.2,0,14.1,4.5,0,16.5,4.2,14,17.6,49.4,8.9
11344,AT3G10815,0,1.6,0,24.9,19.1,25.3,97.1,52.8,63.4,104.1,98.4,122.6,89.3,55.7,12.7,20.1,4.7,7,55.6,13.9,33.8,43.3,20.1,30.7,36.7,5.5,5.2,1.1,0,0,26.6,0,50.9,33.9,56.2,19.9,5.6,17.8,15.5,0,14.3
11569,AT3G13100,0,0.4,0,2.1,1.5,6,4,2.1,25.1,80.3,55.9,30.7,124.6,69.6,86.8,2,0,1.9,2.3,4.6,5.3,1.3,0,1.2,17.7,12.4,0,0,1.1,0,0,0,1.4,0,7.4,1.7,4.2,4.8,4.1,14.1,5.4
11612,AT3G13433,0,0,0,0,0,0,42,14.8,72.6,159.6,214.7,296.3,186.9,387,205.3,0,4.7,0,9.3,23.2,28.5,28.8,51.1,82.3,34,27.6,27.6,0,0,0,0,0,29.7,36.2,42.4,41.4,50.5,71.8,25.9,112.9,83
11636,AT3G13610,0,0,0,2.1,0,0,1,6.3,22.5,107.1,134.2,92,286.5,130.8,254,1,0,0,3.5,0,1.1,0,4.6,2.5,10.9,1.4,8.6,0,0,0,0,0,0,0,4.2,5,1.4,5.3,9.3,14.1,4.5
12908,AT3G26830,0.8,0.4,0,12.5,10.3,44.6,37,50.7,287.9,325.1,355.7,398.5,973.8,748.8,1043.4,18.1,0,15.9,23.1,50,112,104.9,74.4,178,70.6,150.3,48.3,0,0,0,0,0,32.5,49.8,144.1,49.6,77.2,102.7,105.6,254,158.9
13008,AT3G27850,347.2,149.8,103.7,37.4,44.2,26.5,2,6.3,9.2,4,0,0,2.1,0,0,21.1,36.8,30.5,12.7,7.4,6.3,21,4.6,1.2,36.7,24.8,62.2,332.6,118.3,109.9,39.3,165,18.4,13.6,9.5,46.3,7,15.4,67.3,21.2,42.9
13561,AT3G45140,49.9,164,510.5,1009.8,493.1,458.2,757.9,521.5,364.5,341,102.9,296.3,151.6,180.9,59.3,1235.2,385.2,290.2,839.2,707.7,524.2,553.4,175,552.5,669.8,373.6,473.1,79.2,173,353.2,636.1,415.1,965,545.1,564.8,779.3,147.4,228.5,780.8,141.1,369.7
14208,AT3G52430,1.6,2,38.1,39.5,100.1,264.1,1032.2,548.9,1609.9,2120.2,2677.5,1471.3,1499.1,2394.1,1604.3,55.4,111.4,48.3,62.5,151,218.8,261,294.3,295.9,233.7,199.9,177.8,6.8,2.2,5,32.4,0,60.8,124.4,128.2,191.9,367.9,357.2,138.8,740.8,140.2
14747,AT3G57950,0,0,0,0,0,0,32,2.1,19.8,183.4,62.6,92,338.4,180.9,205.3,0,0,0,18.5,0.9,2.1,14.4,7.7,0,1.4,1.4,0,0,0,0,0,0,1.4,0,0,3.3,5.6,1.4,5.2,42.3,0
15404,AT4G01250,0,0,2.6,74.8,32.4,50.6,43.1,52.8,76.6,75.3,102.9,56.2,24.9,41.8,23.3,62.4,38.7,64.1,97.2,53.7,86.7,44.6,40.3,68.8,32.6,30.3,48.3,0,0.6,1.9,41.6,1.8,148.6,88.2,120.8,52.9,85.6,81.5,48.7,14.1,35.7
