"","Ws.0_0hr","Ws.0_2hr.C321A","Ws.0_4hr.C321A","Ws.0_6hr.C321A","Ws.0_8hr.C321A"
"AT1G53620",-0.507247889423099,-0.507247889423099,-0.507247889423099,-0.469297313827442,-0.460367766628464
"AT3G57950",-0.520557143933165,-0.520557143933165,-0.433939371678629,-0.431522131522801,-0.509276689876662
"AT3G13610_F6'H1",-0.509370339729707,-0.505086316692086,-0.489663833741225,-0.478953776127893,-0.419834258149595
"AT1G43910",-0.535585364924295,-0.528106117240677,-0.511651772345694,-0.441346844137642,-0.3693323736259
"AT2G04450_NUDT6",-0.52127092269166,-0.524945413883716,-0.522411282026733,-0.456017027420908,-0.292692229307335
"AT3G26830_PAD3",-0.643295849778625,-0.606236947139549,-0.435517429126067,-0.2409581902116,-0.340497498866131
"AT1G19250_FMO1",-0.49375581615484,-0.490333926835022,-0.470076342073279,-0.446328430191647,-0.408619209887951
"AT2G30770_CYP71A13",-0.455624065946201,-0.450752176599525,-0.425339348396454,-0.364572404249667,-0.300316133962818
"AT2G26400_ARD3",-0.422804047432463,-0.422804047432463,-0.422804047432463,-0.412667008629524,-0.337133073349235
"AT2G14610_PR1",-0.371234230073016,-0.368248053591116,-0.369807996529432,-0.352403490317392,-0.238015103144307
"AT3G10815",-1.12518414420124,-0.828035824759968,-0.124522419581947,-0.215044423980167,-0.674541990881478
"AT1G35210",-0.930223644826569,-0.823205458088998,-0.33265004327318,-0.290773361520611,-0.793958251818852
"AT1G51920",-1.29924493964666,-1.09518428274688,0.439003460872949,0.384877615898455,-0.517686402299435
"AT3G13100_MRP7",-0.605707792542749,-0.569991215473076,-0.485291904150418,-0.584277846307068,-0.302627124444246
"AT2G04430_NUDT5",-0.633598870399882,-0.492321552599609,-0.539413991874776,-0.46541158729591,-0.283769321477017
"AT1G65483",-0.619011540585949,-0.619011540585949,-0.619011540585949,-0.37902552793835,-0.352741345589328
"AT5G64810_WRKY51",-0.56012823090622,-0.547033352420874,-0.535060892085962,-0.481933099386971,-0.424315634024507
"AT1G68200_CDM1",-0.495809345369879,-0.553168963106648,-0.556110481935528,-0.492867826496876,-0.511987699061091
"AT4G11370_RHA1A",-0.633675749837783,-0.668672569607804,-0.478989806562219,-0.43769355917186,-0.555982809963875
"AT2G45760_BAP2",-0.592928708753931,-0.583210778631386,-0.559523323957683,-0.505669794508334,-0.479350400446688
"AT5G26690_HIPP02",-0.65687298305202,-0.642794619424627,-0.644554414871452,-0.495675719442873,0.0597157257966343
"AT3G13433",-0.706238486095582,-0.690484708754629,-0.501774567492149,-0.162565574538889,-0.407251903466542
"AT1G01680_PUB54",-0.606224003908205,-0.598322363069707,-0.586001160411055,-0.45850349807472,-0.432789683824986
"AT4G39030_EDS5",-0.670886390721623,-0.622963321504349,-0.588067426143564,-0.520768199352148,-0.478535700712467
"AT2G24850_TAT3",-1.05704176130922,-0.645143653342508,-0.303483134617155,-0.473040895039445,-0.114848766398257
"AT5G55450_nsLTP4.4",-0.515358257385323,-0.655594661629031,-0.642329055814511,-0.563682964246557,-0.282262612439975
"AT4G21840_MSRB8",-0.632878688659691,-0.622915112576168,-0.472695042343861,-0.457749678215702,-0.580953128695123
"AT4G05320_UBQ10",-1.14625175730544,-0.927314078105329,-0.27810079858458,0.0139239045552699,-0.98746534586171
"AT1G74710_ICS1",-0.740404636101266,-0.753087156564551,-0.642421937583836,-0.28874326191081,-0.579213891998104
"AT5G52730_HIPP11 ",-0.686861643478441,-0.686861643478441,-0.686861643478441,-0.593187774412783,-0.482220267958209
"AT5G39670_CML46",-0.828969391733942,-0.788118290667526,-0.641521832577254,-0.447506930284615,-0.359571317388254
"AT1G73805_SARD1",-0.811585983373679,-0.761032015510339,-0.633590954525749,-0.462496049409179,-0.268588490403803
"AT5G13320_PBS3",-0.745411140759206,-0.739880641637886,-0.595473164562768,-0.325502874142529,-0.57601400102872
"AT3G52430_PAD4",-0.784572809269205,-0.713127313633723,-0.623635031903466,-0.45103688822089,-0.549840981913185
"AT5G42380_CML37",-1.10398869592729,-0.801033415281131,-0.155606947964832,-0.272272956689797,-0.655671331888075
"AT1G53625",-0.904879645739565,-0.841072131237515,-0.360584683914378,-0.225843666603134,-0.553475942602894
"AT4G12720_NUDT7",-0.974189126395381,-0.737368436129976,-0.398567544440272,-0.354193363521203,-0.652567695106035
