"","Ws.0_0hr","Ws.0_2hr.PopP2","Ws.0_4hr.PopP2","Ws.0_6hr.PopP2","Ws.0_8hr.PopP2"
"AT1G53620",-0.507247889423099,-0.507247889423099,-0.230431926254775,0.757771297173227,2.43131726722985
"AT3G57950",-0.520557143933165,-0.520557143933165,-0.303408403227653,0.841154810919539,2.3986632171857
"AT3G13610_F6'H1",-0.509370339729707,-0.500373891341705,-0.381706453085203,0.918494540137449,2.36649432872997
"AT1G43910",-0.535585364924295,-0.547765854005563,-0.346680937747821,0.919021462728188,2.3614478012994
"AT2G04450_NUDT6",-0.52127092269166,-0.524945413883716,-0.352877860867922,0.766448179662505,2.42871197041948
"AT3G26830_PAD3",-0.643295849778625,-0.568500137710778,-0.220282034159714,0.574789606046826,2.48049848094564
"AT1G19250_FMO1",-0.49375581615484,-0.492934562718248,-0.295149360079167,0.599332507949212,2.49786513999094
"AT2G30770_CYP71A13",-0.455624065946201,-0.44844790461286,-0.389787723439022,0.231246495565724,2.60359326164082
"AT2G26400_ARD3",-0.422804047432463,-0.422180229659975,-0.411055479384449,0.249463572104677,2.6019843612159
"AT2G14610_PR1",-0.371234230073016,-0.371412509266215,-0.369852566327899,-0.220878015674932,2.66185196492431
"AT3G10815",-1.12518414420124,-0.459060262552058,0.957805896326316,2.0578450401061,0.410738129524448
"AT1G35210",-0.930223644826569,-0.552336445232101,1.35504670191321,1.7698252640339,0.598275238813199
"AT1G51920",-1.29924493964666,-1.01523978755229,0.776201253858092,1.44857489703263,0.878698184583143
"AT3G13100_MRP7",-0.605707792542749,-0.511824218547656,-0.291401914409222,1.09338080176584,2.2577412141086
"AT2G04430_NUDT5",-0.633598870399882,-0.531845564135476,-0.43261506701659,1.14666352125075,2.23231243354851
"AT1G65483",-0.619011540585949,-0.619011540585949,-0.236176710771928,1.39572817523175,2.04826157141165
"AT5G64810_WRKY51",-0.56012823090622,-0.56012823090622,-0.330406648320597,1.29990572316962,2.13910036488173
"AT1G68200_CDM1",-0.495809345369879,-0.514929217934095,-0.370794793862892,1.50148195942769,1.99418636833932
"AT4G11370_RHA1A",-0.633675749837783,-0.505587389505123,-0.178017156460244,1.45283464372665,2.00578439738226
"AT2G45760_BAP2",-0.592928708753931,-0.590499226223294,-0.13699582048429,1.40997718108052,2.03820087192508
"AT5G26690_HIPP02",-0.65687298305202,-0.63188388760363,-0.418596678563626,1.59003385244165,1.84062872471994
"AT3G13433",-0.706238486095582,-0.706238486095582,-0.272506829217271,1.54152387156825,1.9055366840924
"AT1G01680_PUB54",-0.606224003908205,-0.60341155547464,-0.213418706006935,1.79158917487957,1.70708179589067
"AT4G39030_EDS5",-0.670886390721623,-0.598978272138846,0.0356849459275329,1.61404228312661,1.83047208151886
"AT2G24850_TAT3",-1.05704176130922,-0.745007627432186,0.0545132247655322,1.33634379118079,1.94770882219245
"AT5G55450_nsLTP4.4",-0.515358257385323,-0.633801166368411,0.081594003926962,2.28747474150431,0.923959972452539
"AT4G21840_MSRB8",-0.632878688659691,-0.632303866962454,-0.0114964339466531,2.03985059645087,1.37114135494878
"AT4G05320_UBQ10",-1.14625175730544,-0.146156082215744,0.457296958824078,1.52692232497585,1.4871448737176
"AT1G74710_ICS1",-0.740404636101266,-0.733347427128102,0.741711526766631,1.98695093605962,1.00855584846041
"AT5G52730_HIPP11 ",-0.686861643478441,-0.67605312012388,0.854433786881995,1.94753578286053,1.01007652318768
"AT5G39670_CML46",-0.828969391733942,-0.765522177526307,0.948888336905251,1.83503442878319,1.04728717448945
"AT1G73805_SARD1",-0.811585983373679,-0.751456333606053,0.423817804623502,1.6479560847465,1.6169759374588
"AT5G13320_PBS3",-0.745411140759206,-0.740290308241513,0.460032834180836,1.73819263110808,1.52434666508371
"AT3G52430_PAD4",-0.784572809269205,-0.63541900634424,0.513024073523574,1.78124342511534,1.46336453264579
"AT5G42380_CML37",-1.10398869592729,-0.799622132918092,0.930139616196367,1.53510932295634,1.32294654151651
"AT1G53625",-0.904879645739565,-0.845967848463112,0.796926059280477,1.87295030752067,1.06194755175945
"AT4G12720_NUDT7",-0.974189126395381,-0.679104478730999,0.781588286401523,1.80862760636607,1.20577475155627
