ID,color
AT1G01680_PUB54,red
AT1G07160_AP2C2,blue
AT1G07920,blue
AT1G19250_FMO1,red
AT1G32640_MYC2,blue
AT1G35210,red
AT1G43910,red
AT1G51920,blue
AT1G53620,red
AT1G53625,red
AT1G59860_HSP17.6A-CI,blue
AT1G65483,red
AT1G68200_CDM1,red
AT1G73805_SARD1,red
AT1G74710_ICS1,red
AT1G77120_ADH1,blue
AT2G04430_NUDT5,red
AT2G04450_NUDT6,red
AT2G14610_PR1,red
AT2G17740_VLG,blue
AT2G19190_FRK1,blue
AT2G24850_TAT3,red
AT2G26400_ARD3,red
AT2G30770_CYP71A13,red
AT2G45760_BAP2,red
AT3G10815,red
AT3G13100_MRP7,red
AT3G13433,red
AT3G13610_F6'H1,red
AT3G26830_PAD3,red
AT3G27850_RPL12-C,blue
AT3G45140_LOX2,blue
AT3G52430_PAD4,red
AT3G57950,red
AT4G01250_WRKY22,blue
AT4G05320_UBQ10,blue
AT4G11370_RHA1A,red
AT4G12720_NUDT7,red
AT4G18960_AG,blue
AT4G21840_MSRB8,red
AT4G28410_RSA1,blue
AT4G39030_EDS5,red
AT5G03840_TFL1,blue
AT5G09810_ACT7,blue
AT5G13320_PBS3,red
AT5G26690_HIPP02,red
AT5G39670_CML46,red
AT5G42380_CML37,red
AT5G44420_PDF1.2A,blue
AT5G52730_HIPP11 ,red
AT5G55450_nsLTP4.4,red
AT5G64810_WRKY51,red
