"","eds1_a2","eds1_a4","eds1_kv","eds1_mk","gh_a2","gh_a4","gh_kv","gh_mk","myc234_a2","myc234_a4","myc234_kv","myc234_mk","peds_a2","peds_a4","peds_kv","peds_mk","r1ab_a2","r1ab_a4","r1ab_kv","r1ab_mk","sid2_a2","sid2_a4","sid2_kv","sid2_mk","tplr14_a2","tplr14_a4","tplr14_kv","tplr14_mk","wt_a2","wt_a4","wt_kv","wt_mk"
"AT1G01680_PUB54",4.02290939347805,2.16457346934986,2.2941750902587,-0.0634845406674989,-1.12588624609678,-0.063978819610835,-1.36272889120711,0.0223989107854158,4.53532062933148,4.71068258937226,4.2747171879808,3.51828735789157,4.2394089986535,5.05646122120432,3.23168475880243,3.06217103690121,4.19937001682856,4.39470287049185,4.2970147451806,3.00073534920293,4.21406004863035,5.19912636356938,3.44352968950789,3.47434997714646,3.8304840694719,4.42261456807491,3.48981942772612,3.36358320946374,4.05602737156363,4.65497665962145,3.78846289009185,3.48585140064086
"AT1G07160_AP2C2",8.02511100884321,8.96820960564356,8.78724162135544,4.78882731666974,9.52475045752869,9.40380322452464,9.4374749852956,5.08491947917729,6.63618849290985,6.25129468469891,6.76070712324849,4.81507936051277,9.05908312265815,8.73540563424377,9.5786649003519,5.40825710714435,7.11089733712412,6.54318409258904,6.41984377169585,3.51010116313789,8.29511201766241,7.33748231517766,8.34051945671009,5.04183743209193,7.72875253236268,6.75385396794914,7.64823233214417,4.03950644754716,7.66026874589236,6.87216886658724,7.90896413522915,3.8895858359764
"AT1G07920",-2.55996433936077,-1.11255155430474,-1.01665004864321,0.963291403111776,-1.52242947260138,-2.17670633170299,-1.04255691404213,0.779316640150356,-3.56311427456009,-3.5794199964145,-2.98045383222583,-0.928278521762021,-2.14499913535456,-3.09464065040864,-1.01137662651866,0.854843023337146,-3.15815663297915,-3.2458730815024,-3.13144086975092,-0.729816204055041,-2.53965089391515,-3.72105141540953,-1.7401521322871,-0.0261507951728534,-2.61377065915436,-3.54233415759247,-2.20412467849014,-0.472429480723513,-3.16902831989301,-4.06489405059109,-2.96170781946948,-1.37931748392968
"AT1G19250_FMO1",7.30765260701789,5.55508841534015,4.7313616324676,3.68211505634674,3.37243676199823,4.35683630482231,4.54066655518331,3.25181259279936,8.29724041764881,8.61985004943843,8.51349547612863,6.61275886043012,7.31281764348861,7.84907115966605,6.72612794801766,6.20473793978975,9.1296282430697,9.12031499043248,9.05772391602542,6.9549789275837,8.78181584845021,9.06623617373376,8.78485691558692,6.85219011275726,7.95130334812163,8.4445781326932,8.01706439910751,5.37741899713327,8.25397436123082,8.85226869555939,8.69184361508927,7.55090243853637
"AT1G32640_MYC2",-3.3015610044069,-1.65201452849337,-1.60216596871998,1.56246068252989,-1.82285540385092,-1.41665262096167,-1.14729486953827,1.26532291984554,-3.86767159634424,-4.15659262253341,-3.96614117563548,-1.89877796517885,-3.53269499006971,-3.33669061946351,-2.57862578683312,-0.979819889703335,-2.42526315639612,-3.8820771482146,-3.83582074376789,0.0500321402660471,-2.85637904586922,-3.88614811043832,-2.00522865544573,0.647880940610354,-3.45550386784427,-3.59122061589669,-3.07488087124115,-0.240862293769634,-2.83763789172083,-3.38583363609967,-3.00605832752838,0.0359560887166023
"AT1G35210",2.20448237724654,2.5270555667312,1.93739191369885,-0.432979480450253,3.96409981914166,4.11201162791058,3.33014084376336,1.74606534514713,2.69913218748544,2.4091763516899,1.71240462315854,1.09772274268613,2.95315119413481,3.29437984011412,2.40382063032089,1.30049091327606,2.28885824811495,1.79551886419722,1.59675114362963,0.240525127432358,2.57615237013981,3.24756040440155,2.31359181449812,0.685370159252865,2.01295678668363,1.88248778637676,1.67338245129025,-0.00466543961692136,2.30763444379707,2.2735013122693,1.72625384900612,0.80229986499651
"AT1G43910",0.0842354467658794,-1.55711920610044,-1.4353040696591,-1.56143047104537,-3.10812572734447,-3.06910225256161,-2.14946702707668,0.960412277551257,1.02745193397925,1.41765387298592,1.44444037798276,3.21139643792763,-0.14553055036613,0.181828600720771,-0.269070850142238,1.82213355189177,0.200699959202634,1.35539816673856,1.16868809716758,2.74787268469822,0.706801997152628,1.14255189018409,0.852977155112974,2.9681508286404,0.874594472105117,1.37768168102895,1.19858855669432,3.41790179494794,0.719934532011799,1.23113810991801,1.01689303465098,2.97834307535578
"AT1G51920",6.18100082055161,7.29770613309421,7.10717455026146,2.1353124355697,7.27429643508918,7.20450750959437,7.30558833520097,2.85419038810122,6.38163384886169,6.19442056404962,6.49379404966275,4.77423283810943,7.35517654568514,7.28723977598089,7.60425063553023,4.39191902854559,6.17619284787756,5.53868858660332,5.63710016327465,2.71071503628417,6.50738394938175,6.54156993759755,6.78974072779912,2.93970779969554,6.17851248428556,5.38959040069887,5.91378035535639,1.21191507874442,5.84501543376252,5.534410428352,6.00490784046286,2.62519992104925
"AT1G53620",9.07106189319269,7.70341218139566,7.50088600020633,1.49758975531135,6.98133010728679,7.21241690363979,6.25159123091127,-1.39003648152752,10.8110339399381,10.8753266815221,9.69541130886079,8.6009902184684,9.15973897692303,10.321484281316,8.06544995864999,6.94032251479922,10.0992780457044,9.15160763095562,9.35639887779403,6.9106358021229,9.07103824879626,10.7209995512387,8.05530588225946,7.61067935387982,7.84865839124769,8.25137349211417,7.75124690549752,2.80574231789239,9.70641217193811,10.0717236098443,9.05546116833129,7.67983865734268
"AT1G53625",7.99299719233809,8.04920369781202,7.77773511738946,2.52564556265521,9.04788657525512,8.76967045374555,7.90109200170098,4.12950645098665,7.76170000845431,7.4151223038191,6.97522131789497,5.15527648193801,8.49166017825928,8.27331680010569,8.08080254170209,5.15721946306208,8.12765577934091,6.83870023310512,7.1798569895749,3.61332288705827,7.98065391605293,8.32860817971733,7.6652933874807,3.81937329896437,7.7809056483805,6.81882944076887,7.09215585805091,3.23990822813729,8.11961778224968,7.8073618765256,7.12610748736545,4.52521129519266
