"","eds1_a2_r1","eds1_a2_r2","eds1_a2_r3","eds1_a4_r1","eds1_a4_r2","eds1_a4_r3","eds1_kv_r1","eds1_kv_r2","eds1_kv_r3","eds1_mk_r1","eds1_mk_r2","eds1_mk_r3","gdna_r1","gdna_r2","gdna_r3","gh_a2_r1","gh_a2_r2","gh_a2_r3","gh_a4_r1","gh_a4_r2","gh_a4_r3","gh_kv_r1","gh_kv_r2","gh_kv_r3","gh_mk_r1","gh_mk_r2","gh_mk_r3","myc234_a2_r1","myc234_a2_r2","myc234_a2_r3","myc234_a4_r1","myc234_a4_r2","myc234_a4_r3","myc234_kv_r1","myc234_kv_r2","myc234_kv_r3","myc234_mk_r1","myc234_mk_r2","myc234_mk_r3","peds_a2_r1","peds_a2_r2","peds_a2_r3","peds_a4_r1","peds_a4_r2","peds_a4_r3","peds_kv_r1","peds_kv_r2","peds_kv_r3","peds_mk_r1","peds_mk_r2","peds_mk_r3","r1ab_a2_r1","r1ab_a2_r2","r1ab_a2_r3","r1ab_a4_r1","r1ab_a4_r2","r1ab_a4_r3","r1ab_kv_r1","r1ab_kv_r2","r1ab_kv_r3","r1ab_mk_r1","r1ab_mk_r2","r1ab_mk_r3","sid2_a2_r1","sid2_a2_r2","sid2_a2_r3","sid2_a4_r1","sid2_a4_r2","sid2_a4_r3","sid2_kv_r1","sid2_kv_r2","sid2_kv_r3","sid2_mk_r1","sid2_mk_r2","sid2_mk_r3","tplr14_a2_r1","tplr14_a2_r2","tplr14_a2_r3","tplr14_a4_r1","tplr14_a4_r2","tplr14_a4_r3","tplr14_kv_r1","tplr14_kv_r2","tplr14_kv_r3","tplr14_mk_r1","tplr14_mk_r2","tplr14_mk_r3","wt_a2_r1","wt_a2_r2","wt_a2_r3","wt_a4_r1","wt_a4_r2","wt_a4_r3","wt_kv_r1","wt_kv_r2","wt_kv_r3","wt_mk_r1","wt_mk_r2","wt_mk_r3","wt_un_r1","wt_un_r2","wt_un_r3"
"AT1G01680_PUB54",99271,28002,32657,8203,8155,3606,7877,3410,2658,564,104,45,118,135,113,983,216,386,1542,536,1082,877,432,166,832,276,243,201130,84226,85319,165924,120717,132200,129042,26993,73310,13211,8595,8503,42840,13477,40275,89007,2891,167532,3091,1399,59534,864,103,55889,159962,40996,56253,182506,36923,69433,283050,31487,88228,67331,1119,4638,129066,12297,23746,248405,195298,82012,39334,13811,5163,8269,2016,10894,50042,21510,18828,65172,54607,46201,37248,28959,6584,9794,2961,4759,126000,30057,56357,263404,106071,153255,50260,101102,83382,16345,2506,8878,172,147,845
"AT1G07160_AP2C2",16476,18966,13360,18665,19810,11121,12963,9271,5485,224,172,43,124,88,86,22749,11181,15205,23269,8044,19535,31198,16029,9011,843,207,112,13187,14152,6479,14071,6351,6857,13806,6118,6307,655,749,247,28978,12188,7994,34485,972,12245,15243,6412,9649,389,19,1852,15472,11743,10122,10307,4465,8931,15935,4891,8347,1162,72,145,38116,4188,14315,34323,8392,16936,22908,5260,9268,570,194,451,15181,5358,9730,7558,3133,9886,11891,5907,7498,601,103,70,21830,11878,16958,12839,19426,13762,10498,39705,43088,571,60,257,11,4,12
"AT1G07920",9863,28591,16023,28858,32762,23168,15986,27316,13202,15862,24139,12336,104,63,64,22383,7867,16135,21628,3458,11698,44598,15434,14528,76515,16126,14970,30074,14161,11527,25434,18323,11321,25035,18249,9028,23577,21745,11827,18620,8397,16331,18738,274,21967,16631,8308,15992,31008,2279,35572,24112,18353,13903,29446,11476,9990,57452,11705,14965,83290,8449,13464,41881,4475,12573,48559,4803,10547,34260,9409,17211,55808,8763,12032,25029,8174,10959,14501,5964,8970,28599,14921,11056,29700,8510,13174,24779,12025,15574,23291,9762,17549,24365,49602,17993,21708,4194,10950,20046,15191,13768
"AT1G19250_FMO1",70279,13226,10664,3321,5727,2925,2927,687,673,323,41,116,198,143,156,799,181,1092,2585,240,2434,3858,450,1031,676,79,134,110467,76947,81297,120642,104860,126698,106173,30096,96810,6512,5818,2134,20212,3490,30243,21170,718,133099,1335,1015,40166,323,51,28938,347918,78051,47088,378191,47473,64622,678098,37508,69597,90537,827,970,102099,30960,14226,388128,116151,48927,100761,30313,8794,7838,1615,2025,48951,18985,21244,51510,56051,39389,68764,25446,8293,4341,636,275,114772,49173,34901,348014,109224,103229,178595,128703,49207,20278,1434,8747,0,22,40
"AT1G32640_MYC2",27206,9163,8433,22703,14048,25616,17484,15771,8667,42383,28469,18692,32,21,37,16365,7294,16722,33816,6901,25093,27323,17837,20766,65700,22785,40832,18065,15618,13278,13982,11868,14700,18330,6617,7543,13029,7249,11961,8882,2650,8897,13833,363,20232,6301,2655,9416,8928,621,29716,63523,34882,13401,30117,3813,11869,49313,5831,11179,198089,8132,43985,13887,6761,11529,32924,5984,14417,18267,9028,20199,70261,15152,45588,11348,7149,6156,10707,6263,14339,16520,7611,7836,41153,5585,24714,48504,14021,16363,48223,17582,25263,29715,35899,26072,81187,10015,29966,20740,15547,17545
"AT1G35210",8349,9742,5232,6118,6320,2864,3080,1676,1645,34,159,82,16,22,25,22893,4290,5624,20571,4748,12782,16536,5334,2416,2206,494,366,45575,12610,7581,30006,10911,10194,13987,4351,4077,1390,1259,717,11917,4227,4238,18951,599,13323,2188,1335,4265,418,45,2972,17036,11032,8381,11294,4484,8310,24206,3284,7765,2942,191,460,27574,1871,4888,46522,28711,11085,14815,1911,2066,1142,162,620,7988,3408,3805,7616,2911,8276,7666,2474,2179,949,97,239,18988,8744,6030,17673,21178,13173,6434,19037,9666,1070,367,592,200,182,316
"AT1G43910",18912,9432,6499,1557,1919,1812,1700,1237,716,362,306,140,56,78,59,641,185,547,950,112,767,2459,557,326,4431,1288,2618,60584,32250,21302,51908,53901,42939,58834,16835,33693,24669,25579,36158,6844,1271,11039,3315,114,57848,347,353,22960,1409,103,88084,26795,13545,11726,67901,20147,24787,99401,18317,26935,160351,4424,14373,39004,3505,8445,92348,23359,23062,21579,7211,4461,23401,4871,24674,25831,8305,8477,30517,19075,23589,30414,15921,6391,35371,8616,20896,46440,10208,17970,93589,37291,40666,34604,57229,27943,37659,6397,22603,941,414,2789
"AT1G51920",28612,30301,28490,34594,28352,35783,19732,18244,16790,333,30,76,28,5,22,32666,7890,37516,39501,5844,45239,38855,12975,25292,1244,234,187,84582,55606,45477,61749,53062,52774,51230,35784,45150,3677,4414,2293,60556,16991,39444,96904,1572,52217,20451,11426,35120,727,113,4845,92312,9889,45356,46818,6863,38304,133852,6817,31690,8743,171,335,77064,3740,36880,85926,60641,43795,64231,7818,19717,1373,180,686,28584,8452,29417,17428,4220,32341,18179,11637,16361,452,91,106,26211,19856,44391,31993,31992,61141,26107,82963,54304,1493,175,663,14,14,138
"AT1G53620",2642,1107,1161,218,171,489,148,61,265,0,2,0,32,26,25,316,55,68,472,31,182,317,11,30,1,0,0,15922,7799,4592,10788,10346,7962,4173,1335,3569,461,380,154,1037,315,1805,4352,58,7972,90,34,1673,1,1,999,12337,1628,2449,3495,835,2791,10146,712,3240,846,16,84,3476,216,1129,7522,9913,3619,1137,179,226,104,45,176,809,479,79,1412,748,144,970,546,9,6,4,0,6538,1947,1599,6787,5934,7097,2237,3360,2967,230,60,138,0,1,0
"AT1G53625",46530,42132,57637,25018,22553,31930,19276,8743,13803,131,69,61,42,10,22,70340,9140,56805,56807,7514,66357,28878,6610,20264,1521,241,226,72922,82514,65582,51791,68940,64751,29877,20009,39345,1833,3234,1403,43097,22462,50690,76840,1379,95709,10060,8107,40069,757,61,6156,91347,23561,120929,27759,7926,59278,193995,8438,43801,3400,227,562,96468,4810,51598,99257,123281,60653,52354,6959,18639,1086,123,847,48091,14076,35804,18109,5828,45206,26553,8524,17634,1079,140,187,62412,37782,116315,51511,60049,176969,22756,78261,67338,1355,452,1460,17,7,57
