				blast	pingtao	difference			
AT1G01680	100	3152		3152	3152	0		AT1G01680	3152
AT1G07160	100	4337		4337	4337	0		AT1G07160	4337
AT1G07920	100	3857		3857	3857	0		AT1G07920	3857
AT1G19250	100	6839		6839	6839	0		AT1G19250	6839
AT1G32640	100	7070		7070	7070	0		AT1G32640	7070
AT1G35210	100	8137		8137	8137	0		AT1G35210	8137
AT1G43910	100	4179		4179	4179	0		AT1G43910	4179
AT1G51920	100	868		868	868	0		AT1G51920	868
AT1G53620	100	5089		5089	5089	0		AT1G53620	5089
AT1G53625	100	4295		4295	4295	0		AT1G53625	4295
AT1G59860	100	2115		2115	2115	0		AT1G59860	2115
AT1G65483	100	4984		4984	4984	0		AT1G65483	4984
AT1G68200	100	4770		4770	4770	0		AT1G68200	4770
AT1G73805	100	7022		7022	7022	0		AT1G73805	7022
AT1G74710	100	7856		7856	7856	0		AT1G74710	7856
AT1G77120	100	2823		2823	2823	0		AT1G77120	2823
AT2G04430	100	4006		4006	4006	0		AT2G04430	4006
AT2G04450	100	4808		4808	4808	0		AT2G04450	4808
AT2G14610	100	6269		6269	6269	0		AT2G14610	6269
AT2G17740	100	3443		3443	3443	0		AT2G17740	3443
AT2G19190	100	7624		7624	7624	0		AT2G19190	7624
AT2G24850	100	4759		4759	4759	0		AT2G24850	4759
AT2G26400	100	4159		4159	4159	0		AT2G26400	4159
AT2G30770	100	8003		8003	8003	0		AT2G30770	8003
AT2G45760	100	5748		5748	5748	0		AT2G45760	5748
AT3G10815	100	2690		2690	2690	0		AT3G10815	2690
AT3G13100	100	6445		6445	6445	0		AT3G13100	6445
AT3G13433	100	3437		3437	3437	0		AT3G13433	3437
AT3G13610	100	3520		3520	3520	0		AT3G13610	3520
AT3G26830	100	7726		7726	7726	0		AT3G26830	7726
AT3G27850	100	2177		2177	2177	0		AT3G27850	2177
AT3G45140	100	10192		10192	10192	0		AT3G45140	10192
AT3G52430	100	5383		5383	5383	0		AT3G52430	5383
AT3G57950	100	6719		6719	6719	0		AT3G57950	6719
AT4G01250	100	5618		5618	5618	0		AT4G01250	5618
AT4G05320	100	4548		4548	4548	0		AT4G05320	4548
AT4G11370	100	8125		8125	8125	0		AT4G11370	8125
AT4G12720	100	4581		4581	4581	0		AT4G12720	4581
AT4G18960	100	9458		9458	9458	0		AT4G18960	9458
AT4G21840	100	5696		5696	5696	0		AT4G21840	5696
AT4G28420	100	4859		4859	4859	0		AT4G28420	4859
AT4G39030	100	4908		4908	4908	0		AT4G39030	4908
AT5G03840	100	4656		4656	4656	0		AT5G03840	4656
AT5G09810	100	8261		8261	8261	0		AT5G09810	8261
AT5G13320	100	6722		6722	6722	0		AT5G13320	6722
AT5G26690	100	2256		2256	2256	0		AT5G26690	2256
AT5G39670	100	3212		3212	3212	0		AT5G39670	3212
AT5G42380	100	3516		3516	3516	0		AT5G42380	3516
AT5G44420	100	2510		2510	2510	0		AT5G44420	2510
AT5G52730	100	2785		2785	2785	0		AT5G52730	2785
AT5G55450	100	1477		1477	1477	0		AT5G55450	1477
AT5G64810	100	3875		3875	3875	0		AT5G64810	3875
